GENESIS-Tabelle: 41261-0012
Schadholzeinschlag: Bundesländer, Jahre, Einschlagsursache,;;;;;;;;;;;;;;;;;;;
Holzartengruppen, Waldeigentumsarten;;;;;;;;;;;;;;;;;;;
Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);;;;;;;;;;;;;;;;;;;
Schadholzeinschlag (1000 cbm);;;;;;;;;;;;;;;;;;;
;;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
Year;Cause;Tree_type;Owner;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2012;Insekten;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);0,8;2,3;-;0,1;-;-;0,0;-;7,2;0,8;0,1;0,0;0,1;3,3;0,2;0,4
2012;Insekten;Eiche und Roteiche;Körperschaftswald;2,0;3,0;-;0,0;-;-;0,1;0,0;0,4;0,6;1,2;0,1;-;0,1;0,0;0,2
2012;Insekten;Eiche und Roteiche;Privatwald;1,7;0,1;-;0,8;-;-;-;0,4;2,4;4,2;0,0;-;0,1;0,6;-;0,1
2012;Insekten;Eiche und Roteiche;Insgesamt;4,5;5,4;-;0,8;-;-;0,1;0,4;10,0;5,7;1,3;0,1;0,2;4,0;0,2;0,7
2012;Insekten;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);1,8;0,2;-;0,1;-;-;-;-;0,7;0,1;0,0;0,0;0,2;1,4;0,3;0,1
2012;Insekten;Buche und sonstiges Laubholz;Körperschaftswald;2,0;0,3;-;0,0;-;-;0,0;-;0,1;0,1;-;0,0;-;0,0;0,0;0,0
2012;Insekten;Buche und sonstiges Laubholz;Privatwald;2,5;1,2;-;0,8;-;-;-;1,1;0,1;0,6;-;-;-;0,0;-;0,1
2012;Insekten;Buche und sonstiges Laubholz;Insgesamt;6,4;1,7;-;0,9;-;-;0,0;1,1;0,9;0,7;0,0;0,1;0,2;1,5;0,3;0,2
2012;Insekten;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);1,7;1,0;-;1,3;-;-;2,4;0,1;0,4;0,9;0,1;0,3;1,4;1,4;0,2;0,3
2012;Insekten;Kiefer und Lärche;Körperschaftswald;1,5;0,1;-;0,1;-;-;2,2;0,2;0,0;0,3;0,7;0,0;0,0;0,1;-;0,4
2012;Insekten;Kiefer und Lärche;Privatwald;0,5;4,7;-;10,8;-;-;-;0,6;1,6;1,0;0,0;-;1,4;4,3;-;1,0
2012;Insekten;Kiefer und Lärche;Insgesamt;3,7;5,7;-;12,3;-;-;4,6;0,9;2,0;2,1;0,7;0,3;2,8;5,9;0,2;1,7
2012;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);14,4;73,0;-;1,6;-;-;61,3;0,1;12,9;15,5;17,8;8,9;4,1;4,5;1,7;23,6
2012;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;19,0;15,0;-;0,3;-;-;71,5;0,5;1,1;12,2;76,5;11,3;0,7;0,1;0,4;5,4
2012;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;19,5;220,1;-;3,5;-;-;-;1,6;9,9;39,2;9,7;1,6;1,9;1,2;1,7;16,0
2012;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;52,8;308,1;-;5,3;-;-;132,8;2,2;24,0;66,9;104,0;21,7;6,7;5,8;3,9;45,1
2012;Insekten;Insgesamt;Staatswald (Bundes- und Landeswald);18,7;76,6;-;3,1;-;-;63,8;0,2;21,2;17,2;18,0;9,2;5,8;10,7;2,4;24,4
2012;Insekten;Insgesamt;Körperschaftswald;24,5;18,3;-;0,4;-;-;73,7;0,7;1,6;13,2;78,4;11,5;0,7;0,4;0,5;6,0
2012;Insekten;Insgesamt;Privatwald;24,2;226,0;-;15,8;-;-;-;3,7;14,1;44,9;9,7;1,6;3,4;6,1;1,7;17,3
2012;Insekten;Insgesamt;Insgesamt;67,5;320,9;-;19,3;-;-;137,5;4,6;36,9;75,4;106,1;22,2;9,9;17,1;4,6;47,7
2012;Trockenheit;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Eiche und Roteiche;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Eiche und Roteiche;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Eiche und Roteiche;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Buche und sonstiges Laubholz;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Buche und sonstiges Laubholz;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Buche und sonstiges Laubholz;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Kiefer und Lärche;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Kiefer und Lärche;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Kiefer und Lärche;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Insgesamt;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Insgesamt;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Insgesamt;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Trockenheit;Insgesamt;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2012;Sonstiges;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);2,2;1,4;-;16,7;-;0,0;12,8;0,2;3,1;0,9;1,1;1,7;0,4;2,7;0,1;0,2
2012;Sonstiges;Eiche und Roteiche;Körperschaftswald;5,7;-;-;-;-;-;10,2;0,3;0,5;1,4;0,9;0,4;-;0,2;0,2;0,1
2012;Sonstiges;Eiche und Roteiche;Privatwald;0,7;-;-;1,2;-;-;-;0,8;6,5;15,7;0,1;-;0,1;0,8;1,2;0,1
2012;Sonstiges;Eiche und Roteiche;Insgesamt;8,7;1,4;-;17,9;-;0,0;23,0;1,3;10,1;18,0;2,0;2,1;0,5;3,7;1,5;0,5
2012;Sonstiges;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);16,6;12,6;-;8,8;-;0,0;23,2;1,9;7,5;2,2;2,4;6,0;0,2;1,8;8,6;2,7
2012;Sonstiges;Buche und sonstiges Laubholz;Körperschaftswald;38,6;-;-;0,0;-;-;26,5;16,3;1,3;1,3;2,0;1,4;0,0;-;0,8;0,4
2012;Sonstiges;Buche und sonstiges Laubholz;Privatwald;5,5;-;-;0,3;-;-;-;86,9;10,4;21,3;-;-;4,5;0,6;8,6;1,1
2012;Sonstiges;Buche und sonstiges Laubholz;Insgesamt;60,8;12,6;-;9,1;-;0,0;49,8;105,1;19,2;24,8;4,5;7,4;4,7;2,4;18,0;4,1
2012;Sonstiges;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);7,9;15,0;-;13,7;-;-;16,9;8,1;4,5;2,8;1,7;0,4;0,8;3,5;2,4;1,1
2012;Sonstiges;Kiefer und Lärche;Körperschaftswald;6,4;-;-;0,7;-;-;11,8;1,3;0,4;0,1;0,7;0,2;0,1;-;0,0;0,1
2012;Sonstiges;Kiefer und Lärche;Privatwald;0,5;-;-;6,4;-;-;-;5,7;21,1;2,2;-;-;0,3;5,2;0,4;0,9
2012;Sonstiges;Kiefer und Lärche;Insgesamt;14,8;15,0;-;20,8;-;-;28,7;15,1;26,1;5,2;2,4;0,6;1,3;8,7;2,7;2,0
2012;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);13,4;31,4;-;3,3;-;-;23,0;0,9;7,6;3,7;2,0;2,4;0,4;5,1;4,3;6,1
2012;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;22,8;-;-;-;-;-;15,4;2,4;0,7;2,2;4,9;0,9;0,0;-;0,4;5,0
2012;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;17,9;-;-;0,3;-;-;-;12,1;15,0;54,2;1,0;0,3;0,1;0,0;2,7;17,2
2012;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;54,0;31,4;-;3,6;-;-;38,4;15,4;23,2;60,1;7,9;3,6;0,5;5,1;7,4;28,3
2012;Sonstiges;Insgesamt;Staatswald (Bundes- und Landeswald);40,1;60,4;-;42,5;-;0,0;76,0;11,0;22,7;9,7;7,2;10,5;1,8;13,3;15,3;10,1
2012;Sonstiges;Insgesamt;Körperschaftswald;73,6;-;-;0,7;-;-;63,9;20,4;3,0;5,1;8,4;2,8;0,2;0,2;1,4;5,6
2012;Sonstiges;Insgesamt;Privatwald;24,6;-;-;8,2;-;-;-;105,4;53,1;93,3;1,1;0,3;5,0;6,4;12,8;19,2
2012;Sonstiges;Insgesamt;Insgesamt;138,3;60,4;-;51,4;-;0,0;139,9;136,8;78,7;108,0;16,7;13,6;7,0;19,9;29,6;34,9
2012;Insgesamt;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);4,9;7,2;-;18,5;-;0,0;16,5;0,2;10,6;1,8;1,8;1,9;0,6;8,0;0,4;1,4
2012;Insgesamt;Eiche und Roteiche;Körperschaftswald;10,6;10,0;-;0,0;-;-;15,9;0,4;0,9;2,2;5,9;0,5;0,0;0,4;0,3;0,9
2012;Insgesamt;Eiche und Roteiche;Privatwald;4,2;23,4;-;2,2;-;-;-;1,5;9,4;21,1;0,6;0,1;0,6;1,4;1,2;1,2
2012;Insgesamt;Eiche und Roteiche;Insgesamt;19,7;40,6;-;20,7;-;0,0;32,4;2,1;20,9;25,1;8,3;2,5;1,2;9,7;1,9;3,5
2012;Insgesamt;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);40,6;35,6;0,0;18,7;-;0,0;40,4;2,0;9,5;2,5;4,6;7,2;2,1;8,5;9,1;5,4
2012;Insgesamt;Buche und sonstiges Laubholz;Körperschaftswald;66,2;2,6;-;0,2;-;-;43,3;16,6;1,6;2,5;5,8;1,6;0,7;0,0;0,8;3,3
2012;Insgesamt;Buche und sonstiges Laubholz;Privatwald;26,5;140,1;-;2,1;-;-;-;88,3;12,5;25,5;0,2;0,0;5,7;1,2;8,6;3,8
2012;Insgesamt;Buche und sonstiges Laubholz;Insgesamt;133,2;178,3;0,0;21,0;-;0,0;83,7;106,8;23,5;30,5;10,6;8,8;8,5;9,8;18,5;12,5
2012;Insgesamt;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);17,3;43,9;0,0;47,8;-;-;34,4;9,0;9,9;5,2;2,7;0,7;7,9;77,0;3,2;13,0
2012;Insgesamt;Kiefer und Lärche;Körperschaftswald;16,0;4,4;-;2,1;-;-;27,7;5,3;0,7;1,9;3,1;0,3;0,2;13,3;0,0;6,0
2012;Insgesamt;Kiefer und Lärche;Privatwald;5,3;117,4;-;46,0;-;-;-;15,4;38,8;7,0;0,0;-;10,3;206,4;0,4;17,2
2012;Insgesamt;Kiefer und Lärche;Insgesamt;38,6;165,7;0,0;95,9;-;-;62,1;29,7;49,4;14,1;5,8;1,0;18,5;296,7;3,7;36,2
2012;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);332,6;338,2;-;6,3;-;-;172,6;1,0;53,4;27,1;41,0;12,8;30,7;34,5;7,3;79,5
2012;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;300,8;43,3;-;0,3;-;-;167,9;3,1;4,8;22,1;141,3;16,3;2,0;2,2;0,9;30,0
2012;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;244,5;785,3;-;4,8;-;-;-;18,6;49,4;154,8;14,7;4,6;8,8;4,2;5,0;71,8
2012;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;877,9;1166,8;-;11,4;-;-;340,5;22,7;107,6;204,0;196,9;33,7;41,5;40,9;13,2;181,4
2012;Insgesamt;Insgesamt;Staatswald (Bundes- und Landeswald);395,4;424,9;0,0;91,2;-;0,0;264,0;12,2;83,4;36,6;50,1;22,6;41,4;128,0;20,0;99,3
2012;Insgesamt;Insgesamt;Körperschaftswald;393,6;60,2;-;2,7;-;-;254,8;25,3;8,0;28,7;156,0;18,7;3,0;15,9;2,0;40,3
2012;Insgesamt;Insgesamt;Privatwald;280,4;1066,2;-;55,2;-;-;-;123,8;110,1;208,4;15,4;4,7;25,4;213,1;15,2;94,0
2012;Insgesamt;Insgesamt;Insgesamt;1069,4;1551,3;0,0;149,0;-;0,0;518,8;161,3;201,5;273,7;221,6;46,0;69,7;357,0;37,2;233,6
2013;Wind/Sturm;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);2,1;3,0;-;1,4;-;-;5,8;0,0;0,3;0,6;0,2;0,0;0,6;6,6;0,1;0,4
2013;Wind/Sturm;Eiche und Roteiche;Körperschaftswald;4,0;2,3;-;0,3;-;-;5,9;0,1;0,1;0,1;1,4;0,0;0,0;0,1;0,3;0,4
2013;Wind/Sturm;Eiche und Roteiche;Privatwald;1,6;17,0;-;4,9;-;-;-;0,1;0,6;2,1;0,0;0,0;-;0,0;0,9;0,4
2013;Wind/Sturm;Eiche und Roteiche;Insgesamt;7,6;22,3;-;6,5;-;-;11,6;0,3;1,0;2,8;1,6;0,1;0,6;6,6;1,3;1,1
2013;Wind/Sturm;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);13,9;25,3;-;7,9;-;-;40,4;0,1;1,5;0,6;0,5;0,0;0,7;10,0;0,0;5,6
2013;Wind/Sturm;Buche und sonstiges Laubholz;Körperschaftswald;18,8;35,8;-;1,2;-;-;32,3;0,3;0,1;0,5;1,1;0,1;0,1;0,6;0,5;2,7
2013;Wind/Sturm;Buche und sonstiges Laubholz;Privatwald;13,9;106,4;-;8,1;-;-;-;1,2;1,1;3,6;0,0;0,0;0,0;0,2;1,9;4,0
2013;Wind/Sturm;Buche und sonstiges Laubholz;Insgesamt;46,6;167,5;-;17,2;-;-;72,7;1,6;2,8;4,7;1,6;0,2;0,8;10,9;2,4;12,3
2013;Wind/Sturm;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);8,7;258,5;-;10,7;-;0,0;8,7;0,2;6,0;2,0;0,3;0,0;1,3;33,1;0,7;4,9
2013;Wind/Sturm;Kiefer und Lärche;Körperschaftswald;8,1;3,1;-;15,0;-;-;5,8;1,1;2,1;0,2;0,4;0,2;0,0;0,0;1,9;3,2
2013;Wind/Sturm;Kiefer und Lärche;Privatwald;3,0;32,4;-;167,3;-;-;-;2,6;16,8;3,4;0,0;-;-;4,3;7,3;10,1
2013;Wind/Sturm;Kiefer und Lärche;Insgesamt;19,8;294,1;-;193,1;-;0,0;14,4;3,9;24,9;5,5;0,6;0,2;1,3;37,4;9,8;18,2
2013;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);123,6;265,0;-;0,6;-;-;42,2;0,0;12,6;16,4;4,5;0,3;5,4;9,2;6,8;29,1
2013;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;108,8;41,7;-;2,0;-;-;33,0;1,1;1,0;5,3;13,8;2,1;0,1;3,9;5,9;11,1
2013;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;87,8;246,1;-;4,3;-;-;-;6,4;18,7;83,5;3,5;0,1;0,0;0,8;32,5;26,9
2013;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;320,2;552,8;-;6,9;-;-;75,2;7,5;32,3;105,2;21,7;2,5;5,5;13,9;45,2;67,0
2013;Wind/Sturm;Insgesamt;Staatswald (Bundes- und Landeswald);148,3;551,8;-;20,6;-;0,0;97,1;0,3;20,3;19,6;5,3;0,4;8,0;58,9;7,5;39,9
2013;Wind/Sturm;Insgesamt;Körperschaftswald;139,8;82,9;-;18,5;-;-;76,9;2,7;3,3;6,1;16,7;2,5;0,3;4,6;8,7;17,4
2013;Wind/Sturm;Insgesamt;Privatwald;106,2;401,9;-;184,6;-;-;-;10,4;37,2;92,6;3,6;0,1;0,0;5,3;42,5;41,3
2013;Wind/Sturm;Insgesamt;Insgesamt;394,3;1036,6;-;223,7;-;0,0;174,0;13,4;60,8;118,3;25,6;2,9;8,3;68,8;58,7;98,6
2013;Schnee/Duft;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);0,9;0,2;-;-;-;-;0,0;-;-;-;-;-;0,5;0,2;-;0,0
2013;Schnee/Duft;Eiche und Roteiche;Körperschaftswald;0,4;0,3;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-
2013;Schnee/Duft;Eiche und Roteiche;Privatwald;0,2;1,3;-;0,0;-;-;-;-;0,0;0,2;-;-;0,0;-;-;0,0
2013;Schnee/Duft;Eiche und Roteiche;Insgesamt;1,4;1,8;-;0,0;-;-;0,1;-;0,0;0,2;-;-;0,6;0,2;-;0,0
2013;Schnee/Duft;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);4,5;6,5;-;0,0;-;-;0,5;0,0;0,0;0,0;0,0;-;10,2;0,1;-;0,2
2013;Schnee/Duft;Buche und sonstiges Laubholz;Körperschaftswald;3,5;0,7;-;-;-;-;0,1;-;-;-;-;-;0,4;0,0;-;0,1
2013;Schnee/Duft;Buche und sonstiges Laubholz;Privatwald;3,9;21,3;-;-;-;-;-;0,1;0,0;0,2;-;-;0,7;0,0;-;0,6
2013;Schnee/Duft;Buche und sonstiges Laubholz;Insgesamt;11,9;28,4;-;0,0;-;-;0,6;0,1;0,0;0,2;0,0;-;11,4;0,1;-;0,8
2013;Schnee/Duft;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);0,4;132,9;-;6,2;-;-;2,8;0,7;0,0;0,2;-;-;50,1;20,0;-;2,8
2013;Schnee/Duft;Kiefer und Lärche;Körperschaftswald;0,6;11,7;-;0,4;-;-;1,5;0,0;-;0,4;0,0;-;0,9;6,2;-;1,1
2013;Schnee/Duft;Kiefer und Lärche;Privatwald;0,5;171,2;-;5,8;-;-;-;0,5;1,2;0,3;-;-;9,1;60,2;-;3,0
2013;Schnee/Duft;Kiefer und Lärche;Insgesamt;1,6;315,8;-;12,4;-;-;4,3;1,2;1,2;0,9;0,0;-;60,0;86,4;-;6,9
2013;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);18,9;173,0;-;0,4;-;-;5,8;-;0,7;0,0;0,1;-;106,9;1,5;-;6,0
2013;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;19,1;42,4;-;-;-;-;4,4;0,3;0,0;0,2;0,0;-;7,0;0,0;-;1,5
2013;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;22,8;186,3;-;-;-;-;-;0,1;0,0;3,0;0,3;-;5,6;0,2;-;9,0
2013;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;60,9;401,7;-;0,4;-;-;10,1;0,4;0,7;3,2;0,4;-;119,5;1,7;-;16,5
2013;Schnee/Duft;Insgesamt;Staatswald (Bundes- und Landeswald);24,7;312,5;-;6,7;-;-;9,1;0,7;0,7;0,2;0,1;-;167,7;21,8;-;9,0
2013;Schnee/Duft;Insgesamt;Körperschaftswald;23,6;55,1;-;0,4;-;-;6,0;0,3;0,0;0,7;0,0;-;8,3;6,2;-;2,6
2013;Schnee/Duft;Insgesamt;Privatwald;27,5;380,1;-;5,8;-;-;-;0,7;1,3;3,7;0,3;-;15,4;60,4;-;12,5
2013;Schnee/Duft;Insgesamt;Insgesamt;75,8;747,7;-;12,9;-;-;15,1;1,7;2,0;4,5;0,4;-;191,5;88,4;-;24,2
2013;Insekten;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);1,1;3,4;-;0,0;-;-;0,2;0,0;4,1;0,3;0,0;0,1;0,1;2,0;0,2;0,1
2013;Insekten;Eiche und Roteiche;Körperschaftswald;0,9;3,8;-;0,3;-;-;0,1;0,3;0,3;0,4;0,7;0,0;-;-;0,0;0,1
2013;Insekten;Eiche und Roteiche;Privatwald;1,7;6,3;-;0,6;-;-;-;0,0;4,0;4,6;0,0;0,0;-;0,1;1,0;0,2
2013;Insekten;Eiche und Roteiche;Insgesamt;3,7;13,5;-;0,9;-;-;0,3;0,3;8,3;5,2;0,8;0,2;0,1;2,1;1,2;0,4
2013;Insekten;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);4,6;0,4;-;0,2;-;-;-;0,0;0,8;0,1;-;0,0;0,0;0,4;-;0,1
2013;Insekten;Buche und sonstiges Laubholz;Körperschaftswald;2,7;0,2;-;-;-;-;-;0,0;0,0;0,2;-;0,0;-;-;-;0,0
2013;Insekten;Buche und sonstiges Laubholz;Privatwald;11,1;0,1;-;0,0;-;-;-;2,6;0,3;0,2;-;-;-;0,0;0,2;0,2
2013;Insekten;Buche und sonstiges Laubholz;Insgesamt;18,3;0,6;-;0,2;-;-;-;2,6;1,1;0,5;-;0,1;0,0;0,4;0,2;0,3
2013;Insekten;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);2,8;1,3;-;0,5;-;-;2,2;0,1;0,5;0,1;0,1;0,2;1,6;1,5;0,0;0,5
2013;Insekten;Kiefer und Lärche;Körperschaftswald;1,8;0,4;-;0,4;-;-;2,1;0,2;0,0;0,3;0,4;0,0;-;0,1;-;0,3
2013;Insekten;Kiefer und Lärche;Privatwald;1,6;9,3;-;5,2;-;-;-;1,7;1,4;2,3;0,0;-;-;3,4;0,1;1,0
2013;Insekten;Kiefer und Lärche;Insgesamt;6,3;10,9;-;6,1;-;-;4,2;2,0;1,9;2,7;0,4;0,2;1,6;5,0;0,1;1,8
2013;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);103,3;252,3;-;0,6;-;0,1;79,6;0,1;26,3;12,8;16,3;7,2;11,7;11,9;0,9;47,2
2013;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;84,0;35,7;-;1,9;-;-;68,1;0,3;4,5;13,5;39,5;5,6;0,5;0,5;0,2;17,0
2013;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;96,0;509,2;-;0,3;-;-;-;7,8;17,0;63,9;8,5;1,9;0,2;1,4;1,1;50,2
2013;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;283,3;797,1;-;2,8;-;0,1;147,7;8,3;47,8;90,1;64,2;14,7;12,3;13,7;2,3;114,5
2013;Insekten;Insgesamt;Staatswald (Bundes- und Landeswald);111,8;257,4;-;1,4;-;0,1;82,0;0,2;31,7;13,3;16,4;7,6;13,4;15,7;1,1;48,0
2013;Insekten;Insgesamt;Körperschaftswald;89,4;40,0;-;2,7;-;-;70,3;0,8;4,8;14,3;40,6;5,7;0,5;0,6;0,3;17,5
2013;Insekten;Insgesamt;Privatwald;110,4;524,8;-;6,1;-;-;-;12,2;22,7;70,9;8,5;1,9;0,2;5,0;2,4;51,6
2013;Insekten;Insgesamt;Insgesamt;311,6;822,2;-;10,1;-;0,1;152,3;13,2;59,2;98,6;65,4;15,2;14,1;21,3;3,8;117,0
2013;Trockenheit;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Eiche und Roteiche;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Eiche und Roteiche;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Eiche und Roteiche;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Buche und sonstiges Laubholz;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Buche und sonstiges Laubholz;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Buche und sonstiges Laubholz;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Kiefer und Lärche;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Kiefer und Lärche;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Kiefer und Lärche;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Insgesamt;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Insgesamt;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Insgesamt;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2013;Trockenheit;Insgesamt;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
